"id_compra","fecha_compra","orden_compra","factura_distribuidor","lote_compra","codigo_distribuidor","codigo_producto","cantidad_cajas","unidades_por_caja","cantidad_unidades","precio_lista_unitario","descuento_distribuidor","valor_descuento","costo_unitario_neto","total_compra_neto","codigo_sucursal_entrega","estado_compra","condicion_pago","observacion"
239,"2025-09-27","OC-2025-0239","F-D005-202509-2294","L202509-836-0239","D007","P011",40,30,1200,"2100.00","7.00","147.00","1953.00","2343600.00","SUR","Recibido","15 días crédito",NULL
240,"2025-03-27","OC-2025-0240","F-D004-202503-8234","L202503-100-0240","D005","P020",42,10,420,"650.00","9.00","58.50","591.50","248430.00","VALLE","Recibido","30 días crédito",NULL
241,"2025-05-23","OC-2025-0241","F-D001-202505-3331","L202505-957-0241","D008","P014",31,20,620,"2300.00","11.00","253.00","2047.00","1269140.00","VALLE","Recibido","30 días crédito",NULL
242,"2025-07-02","OC-2025-0242","F-D003-202507-0444","L202507-870-0242","D003","P018",51,30,1530,"800.00","8.00","64.00","736.00","1126080.00","CENTRO","Recibido","Contado contra entrega",NULL
243,"2025-08-16","OC-2025-0243","F-D005-202508-7365","L202508-426-0243","D004","P016",49,20,980,"4000.00","12.00","480.00","3520.00","3449600.00","VALLE","Recibido","45 días crédito",NULL
244,"2025-10-17","OC-2025-0244","F-D005-202510-0923","L202510-262-0244","D006","P011",59,24,1416,"2100.00","15.00","315.00","1785.00","2527560.00","NORTE","Pendiente","60 días crédito",NULL
245,"2025-09-25","OC-2025-0245","F-D007-202509-5352","L202509-071-0245","D004","P015",51,50,2550,"1500.00","12.00","180.00","1320.00","3366000.00","SUR","Recibido","45 días crédito","Entrega coordinada fuera de horario regular"
246,"2025-04-24","OC-2025-0246","F-D003-202504-4173","L202504-332-0246","D003","P014",46,10,460,"2300.00","5.00","115.00","2185.00","1005100.00","NORTE","Recibido","Contado contra entrega",NULL
247,"2025-08-27","OC-2025-0247","F-D005-202508-9729","L202508-467-0247","D006","P012",42,60,2520,"2200.00","16.00","352.00","1848.00","4656960.00","SUR","Recibido","60 días crédito",NULL
248,"2025-10-12","OC-2025-0248","F-D002-202510-9427","L202510-780-0248","D007","P008",21,10,210,"650.00","9.00","58.50","591.50","124215.00","SUR","Recibido","15 días crédito",NULL
249,"2025-04-17","OC-2025-0249","F-D001-202504-3494","L202504-479-0249","D005","P005",58,30,1740,"1100.00","12.00","132.00","968.00","1684320.00","SUR","Recibido","30 días crédito",NULL
250,"2025-11-26","OC-2025-0250","F-D001-202511-6527","L202511-119-0250","D008","P006",41,24,984,"3200.00","11.00","352.00","2848.00","2802432.00","NORTE","Recibido","30 días crédito",NULL
251,"2026-03-25","OC-2026-0251","F-D003-202603-1413","L202603-819-0251","D004","P010",33,20,660,"2100.00","12.00","252.00","1848.00","1219680.00","VALLE","Recibido","45 días crédito",NULL
252,"2026-12-28","OC-2026-0252","F-D005-202612-6709","L202612-727-0252","D006","P013",8,30,240,"2000.00","16.00","320.00","1680.00","403200.00","SUR","Recibido","60 días crédito",NULL
253,"2026-07-01","OC-2026-0253","F-D002-202607-0646","L202607-397-0253","D001","P008",37,24,888,"650.00","12.00","78.00","572.00","507936.00","VALLE","Recibido","30 días crédito",NULL
254,"2026-01-04","OC-2026-0254","F-D005-202601-2004","L202601-872-0254","D004","P020",20,10,200,"650.00","12.00","78.00","572.00","114400.00","CENTRO","Recibido","45 días crédito",NULL
255,"2026-03-21","OC-2026-0255","F-D006-202603-3556","L202603-822-0255","D007","P002",26,10,260,"1800.00","7.00","126.00","1674.00","435240.00","CENTRO","Recibido","15 días crédito",NULL
256,"2026-01-12","OC-2026-0256","F-D002-202601-6628","L202601-613-0256","D002","P019",34,50,1700,"500.00","6.00","30.00","470.00","799000.00","VALLE","Recibido","15 días crédito",NULL
257,"2026-10-11","OC-2026-0257","F-D008-202610-8253","L202610-459-0257","D006","P020",43,50,2150,"650.00","15.00","97.50","552.50","1187875.00","NORTE","Recibido","60 días crédito",NULL
258,"2026-02-26","OC-2026-0258","F-D005-202602-5581","L202602-860-0258","D006","P018",28,30,840,"800.00","14.00","112.00","688.00","577920.00","NORTE","Recibido","60 días crédito",NULL
259,"2026-10-13","OC-2026-0259","F-D003-202610-5435","L202610-363-0259","D005","P002",37,50,1850,"1800.00","8.00","144.00","1656.00","3063600.00","CENTRO","Recibido","30 días crédito",NULL
260,"2026-11-05","OC-2026-0260","F-D005-202611-1189","L202611-344-0260","D003","P005",36,50,1800,"1100.00","9.00","99.00","1001.00","1801800.00","CENTRO","Recibido","Contado contra entrega","Descuento por volumen"
261,"2026-10-27","OC-2026-0261","F-D001-202610-8649","L202610-018-0261","D004","P003",33,50,1650,"1200.00","10.00","120.00","1080.00","1782000.00","SUR","Recibido","45 días crédito",NULL
262,"2026-01-24","OC-2026-0262","F-D004-202601-3272","L202601-577-0262","D002","P016",42,30,1260,"4000.00","6.00","240.00","3760.00","4737600.00","SUR","Recibido","15 días crédito",NULL
263,"2026-06-05","OC-2026-0263","F-D002-202606-3004","L202606-801-0263","D003","P001",7,60,420,"2500.00","9.00","225.00","2275.00","955500.00","CENTRO","Recibido","Contado contra entrega",NULL
264,"2026-11-22","OC-2026-0264","F-D007-202611-8956","L202611-424-0264","D008","P019",7,50,350,"500.00","12.00","60.00","440.00","154000.00","NORTE","Recibido","30 días crédito",NULL
265,"2026-04-16","OC-2026-0265","F-D001-202604-9437","L202604-318-0265","D006","P001",52,60,3120,"2500.00","15.00","375.00","2125.00","6630000.00","SUR","Recibido","60 días crédito",NULL
266,"2026-09-14","OC-2026-0266","F-D006-202609-6123","L202609-424-0266","D007","P017",23,60,1380,"1800.00","7.00","126.00","1674.00","2310120.00","VALLE","Recibido","15 días crédito",NULL
267,"2026-11-20","OC-2026-0267","F-D001-202611-2862","L202611-939-0267","D004","P002",44,60,2640,"1800.00","13.00","234.00","1566.00","4134240.00","SUR","Recibido","45 días crédito",NULL
268,"2026-06-11","OC-2026-0268","F-D001-202606-5803","L202606-879-0268","D006","P002",51,24,1224,"1800.00","12.00","216.00","1584.00","1938816.00","SUR","Recibido","60 días crédito",NULL
269,"2026-12-27","OC-2026-0269","F-D006-202612-2077","L202612-890-0269","D004","P009",20,20,400,"900.00","12.00","108.00","792.00","316800.00","SUR","Recibido","45 días crédito",NULL
270,"2026-04-22","OC-2026-0270","F-D004-202604-5755","L202604-881-0270","D003","P007",58,20,1160,"2800.00","4.00","112.00","2688.00","3118080.00","CENTRO","Recibido","Contado contra entrega",NULL
271,"2026-04-25","OC-2026-0271","F-D008-202604-1055","L202604-458-0271","D006","P009",39,20,780,"900.00","14.00","126.00","774.00","603720.00","CENTRO","Recibido","60 días crédito",NULL
272,"2026-07-28","OC-2026-0272","F-D003-202607-7303","L202607-553-0272","D003","P013",27,20,540,"2000.00","5.00","100.00","1900.00","1026000.00","SUR","Recibido","Contado contra entrega",NULL
273,"2026-04-01","OC-2026-0273","F-D001-202604-5381","L202604-094-0273","D002","P019",19,60,1140,"500.00","11.00","55.00","445.00","507300.00","VALLE","Recibido","15 días crédito",NULL
274,"2026-12-11","OC-2026-0274","F-D005-202612-3492","L202612-572-0274","D003","P007",19,20,380,"2800.00","4.00","112.00","2688.00","1021440.00","VALLE","Recibido","Contado contra entrega",NULL
275,"2026-03-02","OC-2026-0275","F-D007-202603-6462","L202603-841-0275","D003","P018",7,30,210,"800.00","7.00","56.00","744.00","156240.00","VALLE","Recibido","Contado contra entrega",NULL
276,"2026-04-10","OC-2026-0276","F-D007-202604-1751","L202604-688-0276","D004","P005",1,24,24,"1100.00","14.00","154.00","946.00","22704.00","CENTRO","Recibido","45 días crédito","Entrega coordinada fuera de horario regular"
277,"2026-04-20","OC-2026-0277","F-D008-202604-9965","L202604-332-0277","D004","P007",20,20,400,"2800.00","11.00","308.00","2492.00","996800.00","NORTE","Recibido","45 días crédito","Entrega coordinada fuera de horario regular"
278,"2026-09-19","OC-2026-0278","F-D008-202609-9737","L202609-747-0278","D005","P008",7,50,350,"650.00","8.00","52.00","598.00","209300.00","CENTRO","Recibido","30 días crédito",NULL
279,"2026-04-24","OC-2026-0279","F-D001-202604-5995","L202604-680-0279","D006","P007",5,50,250,"2800.00","12.00","336.00","2464.00","616000.00","VALLE","Recibido","60 días crédito",NULL
280,"2026-04-26","OC-2026-0280","F-D003-202604-1910","L202604-762-0280","D005","P002",30,50,1500,"1800.00","7.00","126.00","1674.00","2511000.00","NORTE","Recibido","30 días crédito",NULL
281,"2026-08-27","OC-2026-0281","F-D006-202608-8114","L202608-091-0281","D001","P008",18,10,180,"650.00","12.00","78.00","572.00","102960.00","VALLE","Recibido","30 días crédito",NULL
282,"2026-07-09","OC-2026-0282","F-D001-202607-6173","L202607-095-0282","D002","P001",19,24,456,"2500.00","10.00","250.00","2250.00","1026000.00","SUR","Recibido","15 días crédito",NULL
283,"2026-05-24","OC-2026-0283","F-D008-202605-1595","L202605-213-0283","D008","P016",4,20,80,"4000.00","13.00","520.00","3480.00","278400.00","VALLE","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
284,"2026-02-23","OC-2026-0284","F-D002-202602-1068","L202602-088-0284","D006","P003",39,24,936,"1200.00","13.00","156.00","1044.00","977184.00","VALLE","Recibido","60 días crédito",NULL
285,"2026-08-19","OC-2026-0285","F-D003-202608-3044","L202608-443-0285","D006","P018",31,20,620,"800.00","17.00","136.00","664.00","411680.00","SUR","Recibido","60 días crédito",NULL
286,"2026-10-19","OC-2026-0286","F-D001-202610-8597","L202610-144-0286","D004","P007",32,60,1920,"2800.00","14.00","392.00","2408.00","4623360.00","VALLE","Recibido","45 días crédito",NULL
287,"2026-12-06","OC-2026-0287","F-D007-202612-0158","L202612-493-0287","D003","P011",37,50,1850,"2100.00","6.00","126.00","1974.00","3651900.00","SUR","Recibido","Contado contra entrega",NULL
288,"2026-10-23","OC-2026-0288","F-D002-202610-6482","L202610-842-0288","D004","P018",33,50,1650,"800.00","12.00","96.00","704.00","1161600.00","CENTRO","Recibido","45 días crédito",NULL
289,"2026-10-11","OC-2026-0289","F-D007-202610-8145","L202610-989-0289","D005","P001",46,50,2300,"2500.00","12.00","300.00","2200.00","5060000.00","CENTRO","Pendiente","30 días crédito",NULL
290,"2026-07-26","OC-2026-0290","F-D004-202607-4084","L202607-815-0290","D008","P013",6,30,180,"2000.00","10.00","200.00","1800.00","324000.00","NORTE","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
291,"2026-04-12","OC-2026-0291","F-D003-202604-7999","L202604-477-0291","D007","P004",35,30,1050,"850.00","6.00","51.00","799.00","838950.00","SUR","Recibido","15 días crédito",NULL
292,"2026-02-22","OC-2026-0292","F-D007-202602-4732","L202602-848-0292","D003","P020",25,30,750,"650.00","6.00","39.00","611.00","458250.00","NORTE","Recibido","Contado contra entrega",NULL
293,"2026-11-22","OC-2026-0293","F-D003-202611-9850","L202611-886-0293","D005","P016",23,20,460,"4000.00","7.00","280.00","3720.00","1711200.00","VALLE","Recibido","30 días crédito",NULL
294,"2026-09-07","OC-2026-0294","F-D001-202609-8989","L202609-511-0294","D004","P005",49,30,1470,"1100.00","11.00","121.00","979.00","1439130.00","CENTRO","Recibido","45 días crédito",NULL
295,"2026-06-05","OC-2026-0295","F-D004-202606-5084","L202606-863-0295","D001","P013",5,20,100,"2000.00","11.00","220.00","1780.00","178000.00","SUR","Recibido","30 días crédito",NULL
296,"2026-10-18","OC-2026-0296","F-D007-202610-0320","L202610-129-0296","D003","P001",6,24,144,"2500.00","5.00","125.00","2375.00","342000.00","VALLE","Recibido","Contado contra entrega",NULL
297,"2026-07-11","OC-2026-0297","F-D008-202607-8440","L202607-557-0297","D002","P003",53,24,1272,"1200.00","7.00","84.00","1116.00","1419552.00","NORTE","Recibido","15 días crédito",NULL
298,"2026-06-21","OC-2026-0298","F-D003-202606-0293","L202606-069-0298","D003","P001",36,24,864,"2500.00","5.00","125.00","2375.00","2052000.00","SUR","Recibido","Contado contra entrega",NULL
299,"2026-01-13","OC-2026-0299","F-D005-202601-5611","L202601-976-0299","D005","P010",39,50,1950,"2100.00","10.00","210.00","1890.00","3685500.00","NORTE","Recibido","30 días crédito",NULL
300,"2026-08-11","OC-2026-0300","F-D007-202608-8797","L202608-669-0300","D003","P019",56,20,1120,"500.00","7.00","35.00","465.00","520800.00","CENTRO","Recibido","Contado contra entrega",NULL
301,"2026-08-26","OC-2026-0301","F-D008-202608-0707","L202608-433-0301","D007","P010",14,20,280,"2100.00","7.00","147.00","1953.00","546840.00","SUR","Recibido","15 días crédito",NULL
302,"2026-02-20","OC-2026-0302","F-D007-202602-2642","L202602-981-0302","D008","P015",45,24,1080,"1500.00","12.00","180.00","1320.00","1425600.00","NORTE","Recibido","30 días crédito",NULL
303,"2026-07-21","OC-2026-0303","F-D001-202607-7848","L202607-500-0303","D006","P003",3,60,180,"1200.00","13.00","156.00","1044.00","187920.00","NORTE","Recibido","60 días crédito","Compra controlada: producto de alta rotación"
304,"2026-04-24","OC-2026-0304","F-D001-202604-9740","L202604-193-0304","D006","P016",32,30,960,"4000.00","13.00","520.00","3480.00","3340800.00","CENTRO","Recibido","60 días crédito",NULL
305,"2026-11-02","OC-2026-0305","F-D007-202611-9709","L202611-281-0305","D003","P003",60,10,600,"1200.00","5.00","60.00","1140.00","684000.00","CENTRO","Recibido","Contado contra entrega","Compra controlada: producto de alta rotación"
306,"2026-03-20","OC-2026-0306","F-D006-202603-2877","L202603-964-0306","D001","P003",47,30,1410,"1200.00","9.00","108.00","1092.00","1539720.00","SUR","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
307,"2026-06-16","OC-2026-0307","F-D005-202606-3190","L202606-246-0307","D001","P008",3,20,60,"650.00","10.00","65.00","585.00","35100.00","NORTE","Recibido","30 días crédito",NULL
308,"2026-08-15","OC-2026-0308","F-D003-202608-6620","L202608-590-0308","D007","P001",52,60,3120,"2500.00","9.00","225.00","2275.00","7098000.00","NORTE","Recibido","15 días crédito",NULL
309,"2026-04-03","OC-2026-0309","F-D001-202604-9378","L202604-142-0309","D007","P006",26,24,624,"3200.00","7.00","224.00","2976.00","1857024.00","NORTE","Recibido","15 días crédito",NULL
310,"2026-07-07","OC-2026-0310","F-D004-202607-6818","L202607-385-0310","D002","P006",17,24,408,"3200.00","10.00","320.00","2880.00","1175040.00","VALLE","Recibido","15 días crédito",NULL
311,"2026-03-02","OC-2026-0311","F-D008-202603-6569","L202603-769-0311","D008","P009",22,10,220,"900.00","13.00","117.00","783.00","172260.00","SUR","Recibido","30 días crédito",NULL
312,"2026-09-12","OC-2026-0312","F-D005-202609-0624","L202609-602-0312","D004","P004",21,24,504,"850.00","14.00","119.00","731.00","368424.00","SUR","Recibido","45 días crédito",NULL
313,"2026-06-17","OC-2026-0313","F-D003-202606-8475","L202606-878-0313","D004","P008",43,60,2580,"650.00","15.00","97.50","552.50","1425450.00","NORTE","Recibido","45 días crédito",NULL
314,"2026-04-20","OC-2026-0314","F-D008-202604-2074","L202604-140-0314","D003","P003",40,50,2000,"1200.00","8.00","96.00","1104.00","2208000.00","SUR","Recibido","Contado contra entrega",NULL
315,"2026-04-26","OC-2026-0315","F-D005-202604-6963","L202604-942-0315","D004","P019",54,20,1080,"500.00","12.00","60.00","440.00","475200.00","VALLE","Recibido","45 días crédito",NULL
316,"2026-09-03","OC-2026-0316","F-D005-202609-1657","L202609-194-0316","D006","P001",35,24,840,"2500.00","14.00","350.00","2150.00","1806000.00","CENTRO","Recibido","60 días crédito","Descuento por volumen"
317,"2026-12-15","OC-2026-0317","F-D005-202612-6843","L202612-557-0317","D008","P004",14,24,336,"850.00","14.00","119.00","731.00","245616.00","NORTE","Pendiente","30 días crédito",NULL
318,"2026-07-28","OC-2026-0318","F-D003-202607-1995","L202607-060-0318","D001","P005",5,20,100,"1100.00","13.00","143.00","957.00","95700.00","CENTRO","Recibido","30 días crédito",NULL
319,"2026-05-20","OC-2026-0319","F-D008-202605-3190","L202605-977-0319","D002","P010",4,60,240,"2100.00","10.00","210.00","1890.00","453600.00","VALLE","Recibido","15 días crédito",NULL
320,"2026-09-05","OC-2026-0320","F-D008-202609-1938","L202609-110-0320","D007","P002",39,50,1950,"1800.00","8.00","144.00","1656.00","3229200.00","CENTRO","Recibido","15 días crédito",NULL
321,"2026-11-12","OC-2026-0321","F-D006-202611-5957","L202611-726-0321","D002","P010",35,24,840,"2100.00","6.00","126.00","1974.00","1658160.00","NORTE","Recibido","15 días crédito",NULL
322,"2026-05-25","OC-2026-0322","F-D007-202605-5077","L202605-867-0322","D003","P001",11,30,330,"2500.00","6.00","150.00","2350.00","775500.00","SUR","Recibido","Contado contra entrega",NULL
323,"2026-07-20","OC-2026-0323","F-D003-202607-0350","L202607-731-0323","D006","P013",36,30,1080,"2000.00","14.00","280.00","1720.00","1857600.00","VALLE","Recibido","60 días crédito","Compra controlada: producto de alta rotación"
324,"2026-08-13","OC-2026-0324","F-D002-202608-4199","L202608-458-0324","D004","P013",28,60,1680,"2000.00","14.00","280.00","1720.00","2889600.00","CENTRO","Recibido","45 días crédito",NULL
325,"2026-09-28","OC-2026-0325","F-D008-202609-0551","L202609-757-0325","D008","P010",43,20,860,"2100.00","12.00","252.00","1848.00","1589280.00","SUR","Recibido","30 días crédito",NULL
326,"2026-02-15","OC-2026-0326","F-D008-202602-6389","L202602-837-0326","D003","P013",41,30,1230,"2000.00","5.00","100.00","1900.00","2337000.00","CENTRO","Recibido","Contado contra entrega",NULL
327,"2026-03-12","OC-2026-0327","F-D007-202603-0186","L202603-548-0327","D008","P007",38,30,1140,"2800.00","11.00","308.00","2492.00","2840880.00","VALLE","Recibido","30 días crédito",NULL
328,"2026-02-02","OC-2026-0328","F-D006-202602-3390","L202602-251-0328","D008","P012",54,10,540,"2200.00","13.00","286.00","1914.00","1033560.00","NORTE","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
329,"2026-01-24","OC-2026-0329","F-D008-202601-9064","L202601-343-0329","D003","P018",27,20,540,"800.00","9.00","72.00","728.00","393120.00","CENTRO","Recibido","Contado contra entrega",NULL
330,"2026-05-15","OC-2026-0330","F-D002-202605-9749","L202605-004-0330","D002","P019",17,30,510,"500.00","10.00","50.00","450.00","229500.00","CENTRO","Recibido","15 días crédito",NULL
331,"2026-12-12","OC-2026-0331","F-D008-202612-6180","L202612-544-0331","D002","P006",34,50,1700,"3200.00","7.00","224.00","2976.00","5059200.00","NORTE","Recibido","15 días crédito",NULL
332,"2026-09-27","OC-2026-0332","F-D008-202609-0707","L202609-966-0332","D008","P009",23,30,690,"900.00","11.00","99.00","801.00","552690.00","CENTRO","Recibido","30 días crédito",NULL
333,"2026-07-02","OC-2026-0333","F-D006-202607-3312","L202607-661-0333","D001","P008",24,30,720,"650.00","9.00","58.50","591.50","425880.00","NORTE","Recibido","30 días crédito",NULL
334,"2026-04-10","OC-2026-0334","F-D005-202604-6716","L202604-693-0334","D004","P005",16,60,960,"1100.00","12.00","132.00","968.00","929280.00","CENTRO","Recibido","45 días crédito",NULL
335,"2026-11-08","OC-2026-0335","F-D001-202611-0940","L202611-918-0335","D004","P020",22,60,1320,"650.00","10.00","65.00","585.00","772200.00","NORTE","Recibido","45 días crédito",NULL
336,"2026-10-22","OC-2026-0336","F-D008-202610-4155","L202610-219-0336","D004","P010",29,30,870,"2100.00","15.00","315.00","1785.00","1552950.00","SUR","Recibido","45 días crédito",NULL
337,"2026-07-24","OC-2026-0337","F-D002-202607-8488","L202607-725-0337","D008","P014",54,24,1296,"2300.00","9.00","207.00","2093.00","2712528.00","SUR","Recibido","30 días crédito",NULL
338,"2026-07-10","OC-2026-0338","F-D004-202607-5836","L202607-458-0338","D006","P005",25,20,500,"1100.00","14.00","154.00","946.00","473000.00","CENTRO","Recibido","60 días crédito",NULL
339,"2026-03-07","OC-2026-0339","F-D003-202603-3921","L202603-046-0339","D003","P015",23,10,230,"1500.00","5.00","75.00","1425.00","327750.00","NORTE","Recibido","Contado contra entrega",NULL
340,"2026-06-28","OC-2026-0340","F-D002-202606-0575","L202606-747-0340","D004","P007",15,24,360,"2800.00","13.00","364.00","2436.00","876960.00","SUR","Recibido","45 días crédito",NULL
341,"2026-02-24","OC-2026-0341","F-D004-202602-7355","L202602-635-0341","D006","P006",1,50,50,"3200.00","14.00","448.00","2752.00","137600.00","NORTE","Recibido","60 días crédito",NULL
342,"2026-08-21","OC-2026-0342","F-D008-202608-0855","L202608-633-0342","D002","P013",18,50,900,"2000.00","10.00","200.00","1800.00","1620000.00","VALLE","Recibido","15 días crédito",NULL
343,"2026-09-04","OC-2026-0343","F-D003-202609-9044","L202609-231-0343","D006","P001",25,20,500,"2500.00","16.00","400.00","2100.00","1050000.00","NORTE","Recibido","60 días crédito",NULL
344,"2026-01-05","OC-2026-0344","F-D002-202601-8573","L202601-861-0344","D005","P019",28,30,840,"500.00","9.00","45.00","455.00","382200.00","CENTRO","Recibido","30 días crédito",NULL
345,"2026-02-18","OC-2026-0345","F-D005-202602-1241","L202602-632-0345","D005","P019",42,50,2100,"500.00","10.00","50.00","450.00","945000.00","CENTRO","Recibido","30 días crédito",NULL
346,"2026-10-04","OC-2026-0346","F-D006-202610-3246","L202610-619-0346","D002","P010",11,24,264,"2100.00","9.00","189.00","1911.00","504504.00","NORTE","Recibido","15 días crédito",NULL
347,"2026-11-02","OC-2026-0347","F-D002-202611-3719","L202611-272-0347","D004","P002",5,50,250,"1800.00","14.00","252.00","1548.00","387000.00","VALLE","Recibido","45 días crédito",NULL
348,"2026-12-01","OC-2026-0348","F-D004-202612-3179","L202612-816-0348","D003","P011",47,50,2350,"2100.00","7.00","147.00","1953.00","4589550.00","VALLE","Recibido","Contado contra entrega",NULL
349,"2026-09-19","OC-2026-0349","F-D001-202609-1833","L202609-614-0349","D004","P011",24,24,576,"2100.00","10.00","210.00","1890.00","1088640.00","NORTE","Recibido","45 días crédito",NULL
350,"2026-11-18","OC-2026-0350","F-D001-202611-4653","L202611-567-0350","D003","P013",55,20,1100,"2000.00","7.00","140.00","1860.00","2046000.00","NORTE","Recibido","Contado contra entrega",NULL
351,"2026-08-23","OC-2026-0351","F-D003-202608-2801","L202608-698-0351","D002","P017",31,30,930,"1800.00","8.00","144.00","1656.00","1540080.00","CENTRO","Recibido","15 días crédito",NULL
352,"2026-10-23","OC-2026-0352","F-D004-202610-0339","L202610-459-0352","D003","P008",31,10,310,"650.00","4.00","26.00","624.00","193440.00","CENTRO","Recibido","Contado contra entrega",NULL
353,"2026-02-23","OC-2026-0353","F-D001-202602-2423","L202602-596-0353","D003","P020",17,20,340,"650.00","9.00","58.50","591.50","201110.00","CENTRO","Recibido","Contado contra entrega",NULL
354,"2026-06-28","OC-2026-0354","F-D005-202606-0556","L202606-215-0354","D003","P015",46,60,2760,"1500.00","8.00","120.00","1380.00","3808800.00","CENTRO","Recibido","Contado contra entrega","Entrega coordinada fuera de horario regular"
355,"2026-07-01","OC-2026-0355","F-D003-202607-9635","L202607-583-0355","D003","P009",31,30,930,"900.00","8.00","72.00","828.00","770040.00","NORTE","Recibido","Contado contra entrega",NULL
356,"2026-10-26","OC-2026-0356","F-D002-202610-1963","L202610-069-0356","D007","P018",21,20,420,"800.00","6.00","48.00","752.00","315840.00","VALLE","Recibido","15 días crédito",NULL
357,"2026-12-23","OC-2026-0357","F-D005-202612-0207","L202612-144-0357","D001","P012",21,30,630,"2200.00","10.00","220.00","1980.00","1247400.00","SUR","Recibido","30 días crédito",NULL
358,"2026-05-27","OC-2026-0358","F-D006-202605-6553","L202605-982-0358","D002","P018",8,20,160,"800.00","11.00","88.00","712.00","113920.00","CENTRO","Recibido","15 días crédito",NULL
359,"2026-10-05","OC-2026-0359","F-D006-202610-8012","L202610-125-0359","D004","P013",53,60,3180,"2000.00","10.00","200.00","1800.00","5724000.00","NORTE","Recibido","45 días crédito",NULL
360,"2026-08-28","OC-2026-0360","F-D001-202608-8718","L202608-545-0360","D006","P009",25,10,250,"900.00","14.00","126.00","774.00","193500.00","VALLE","Recibido","60 días crédito",NULL
361,"2026-03-05","OC-2026-0361","F-D007-202603-8250","L202603-683-0361","D002","P020",4,50,200,"650.00","10.00","65.00","585.00","117000.00","CENTRO","Recibido","15 días crédito",NULL
362,"2026-02-21","OC-2026-0362","F-D006-202602-6760","L202602-412-0362","D008","P001",38,30,1140,"2500.00","11.00","275.00","2225.00","2536500.00","VALLE","Recibido","30 días crédito",NULL
363,"2026-05-09","OC-2026-0363","F-D004-202605-1989","L202605-521-0363","D001","P011",58,10,580,"2100.00","11.00","231.00","1869.00","1084020.00","CENTRO","Recibido","30 días crédito",NULL
364,"2026-03-01","OC-2026-0364","F-D006-202603-4847","L202603-904-0364","D006","P013",26,50,1300,"2000.00","16.00","320.00","1680.00","2184000.00","CENTRO","Recibido","60 días crédito",NULL
365,"2026-09-28","OC-2026-0365","F-D002-202609-0633","L202609-591-0365","D005","P014",8,24,192,"2300.00","11.00","253.00","2047.00","393024.00","CENTRO","Recibido","30 días crédito",NULL
366,"2026-11-01","OC-2026-0366","F-D007-202611-4016","L202611-989-0366","D006","P013",54,60,3240,"2000.00","12.00","240.00","1760.00","5702400.00","NORTE","Recibido","60 días crédito",NULL
367,"2026-09-28","OC-2026-0367","F-D004-202609-2383","L202609-120-0367","D007","P019",11,10,110,"500.00","10.00","50.00","450.00","49500.00","SUR","Recibido","15 días crédito",NULL
368,"2026-07-06","OC-2026-0368","F-D004-202607-4517","L202607-091-0368","D003","P004",29,24,696,"850.00","8.00","68.00","782.00","544272.00","VALLE","Recibido","Contado contra entrega",NULL
369,"2026-09-24","OC-2026-0369","F-D006-202609-8554","L202609-665-0369","D004","P017",45,30,1350,"1800.00","11.00","198.00","1602.00","2162700.00","NORTE","Recibido","45 días crédito",NULL
370,"2026-06-28","OC-2026-0370","F-D007-202606-3360","L202606-484-0370","D007","P001",12,50,600,"2500.00","6.00","150.00","2350.00","1410000.00","CENTRO","Recibido","15 días crédito",NULL
371,"2026-03-27","OC-2026-0371","F-D004-202603-9725","L202603-599-0371","D007","P016",44,30,1320,"4000.00","7.00","280.00","3720.00","4910400.00","CENTRO","Recibido","15 días crédito",NULL
372,"2026-07-17","OC-2026-0372","F-D002-202607-5925","L202607-228-0372","D004","P018",52,10,520,"800.00","11.00","88.00","712.00","370240.00","NORTE","Recibido","45 días crédito",NULL
373,"2026-03-26","OC-2026-0373","F-D004-202603-9953","L202603-255-0373","D006","P004",48,50,2400,"850.00","12.00","102.00","748.00","1795200.00","SUR","Recibido","60 días crédito",NULL
374,"2026-01-04","OC-2026-0374","F-D005-202601-2617","L202601-693-0374","D005","P010",50,50,2500,"2100.00","10.00","210.00","1890.00","4725000.00","NORTE","Recibido","30 días crédito","Entrega coordinada fuera de horario regular"
375,"2026-12-12","OC-2026-0375","F-D004-202612-8285","L202612-408-0375","D007","P014",38,30,1140,"2300.00","9.00","207.00","2093.00","2386020.00","VALLE","Pendiente","15 días crédito","Descuento por volumen"
376,"2026-11-02","OC-2026-0376","F-D005-202611-3146","L202611-873-0376","D003","P017",60,20,1200,"1800.00","6.00","108.00","1692.00","2030400.00","VALLE","Recibido","Contado contra entrega",NULL
377,"2026-08-03","OC-2026-0377","F-D003-202608-3203","L202608-533-0377","D004","P007",19,24,456,"2800.00","12.00","336.00","2464.00","1123584.00","NORTE","Recibido","45 días crédito",NULL
378,"2026-03-13","OC-2026-0378","F-D005-202603-0850","L202603-220-0378","D007","P010",12,24,288,"2100.00","8.00","168.00","1932.00","556416.00","SUR","Recibido","15 días crédito",NULL
379,"2026-07-05","OC-2026-0379","F-D005-202607-5942","L202607-055-0379","D003","P007",54,60,3240,"2800.00","7.00","196.00","2604.00","8436960.00","CENTRO","Recibido","Contado contra entrega",NULL
